From	Entry	Entry Name	Protein names	Gene Names	Organism	Reviewed
AT3G23710	F4J469	TI22L_ARATH	Protein TIC 22-like, chloroplastic (Translocon at the inner envelope membrane of chloroplasts 22-III) (AtTIC22-III)	TIC22L TIC22-III At3g23710 MYM9.5	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G39940	O04197	COI1_ARATH	Coronatine-insensitive protein 1 (COI-1) (F-box/LRR-repeat protein 2) (AtCOI1) (AtFBL2)	COI1 FBL2 At2g39940 T28M21.10	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G75950	Q39255	SKP1A_ARATH	SKP1-like protein 1A (SKP1-like 1) (UFO-binding protein 1)	SKP1A ASK1 SKP1 UIP1 At1g75950 T4O12.17	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G25490	Q9SKK0	EBF1_ARATH	EIN3-binding F-box protein 1 (F-box/LRR-repeat protein 6)	EBF1 FBL6 At2g25490 F13B15.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G60010	Q9M1X5	ASK13_ARATH	SKP1-like protein 13 (AtSK13)	ASK13 At3g60010 F24G16.280 T2O9.1	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G61590	Q9M310	FBK77_ARATH	F-box/kelch-repeat protein At3g61590	At3g61590 F2A19.190	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G25700	Q9SL93	ASK3_ARATH	SKP1-like protein 3 (AtSK3)	ASK3 At2g25700 F3N11.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G21850	Q9LSX9	ASK9_ARATH	SKP1-like protein 9 (AtSK9)	ASK9 At3g21850 MSD21.22	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G03190	O81055	ASK16_ARATH	SKP1-like protein 16 (AtSK16)	ASK16 At2g03190 T18E12.14	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G10230	Q9SY65	ASK18_ARATH	SKP1-like protein 18 (AtSK18)	ASK18 At1g10230 F14N23.11	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G42190	Q9FHW7	SKP1B_ARATH	SKP1-like protein 1B (SKP1-like 2) (UFO-binding protein 2)	SKP1B ASK2 UIP2 At5g42190 MJC20.30	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G34210	O49484	ASK11_ARATH	SKP1-like protein 11 (AtSK11)	ASK11 At4g34210 F10M10.2	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G34470	O65674	ASK12_ARATH	SKP1-like protein 12 (AtSK12)	ASK12 At4g34470 T4L20.50	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G02360	Q9ZVQ6	P2B10_ARATH	F-box protein PP2-B10 (Protein PHLOEM PROTEIN 2-LIKE B10) (AtPP2-B10)	PP2B10 At2g02360 T16F16.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G08920	Q43125	CRY1_ARATH	Cryptochrome-1 (AtCry) (Atcry1) (Blue light photoreceptor) (Protein BLUE LIGHT UNINHIBITED 1) (Protein ELONGATED HYPOCOTYL 4) (Protein OUT OF PHASE 2) (OOP2)	CRY1 BLU1 HY4 At4g08920 T3H13.14 T3H13.5	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G02510	O81283	TC159_ARATH	Translocase of chloroplast 159, chloroplastic (AtToc159) (EC 3.6.5.-) (159 kDa chloroplast outer envelope protein) (Plastid protein import 2) (Translocase of chloroplast 160, chloroplastic) (AtToc160) (Translocase of chloroplast 86, chloroplastic) (AtToc86)	TOC159 PPI2 TOC160 TOC86 At4g02510 T10P11.19 T14P8.24	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G16620	Q9LUS2	TC120_ARATH	Translocase of chloroplast 120, chloroplastic (AtToc120) (EC 3.6.5.-) (120 kDa chloroplast outer envelope protein)	TOC120 At3g16620 MGL6.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G01570	Q9SLH3	RGA_ARATH	DELLA protein RGA (GAI-related sequence) (GRAS family protein 10) (AtGRAS-10) (Repressor on the ga1-3 mutant) (Restoration of growth on ammonia protein 1)	RGA GRS RGA1 At2g01570 F2I9.19	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G09570	P14712	PHYA_ARATH	Phytochrome A (Protein ELONGATED HYPOCOTYL 8) (Protein FAR RED ELONGATED 1) (Protein FAR RED ELONGATED HYPOCOTYL 2)	PHYA FHY2 FRE1 HY8 At1g09570 F14J9.23	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G02340	Q9FE22	HFR1_ARATH	Transcription factor HFR1 (Basic helix-loop-helix protein 26) (AtbHLH26) (bHLH 26) (Protein LONG HYPOCOTYL IN FAR-RED 1) (Protein REDUCED PHYTOCHROME SIGNALING) (Reduced sensitivity to far-red light) (Transcription factor EN 68) (bHLH transcription factor bHLH026)	HFR1 BHLH26 EN68 FBI1 REP1 RSF1 At1g02340 T6A9.4 T6A9_13	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G10470	O82798	ARR4_ARATH	Two-component response regulator ARR4 (Response regulator 1)	ARR4 ATRR1 IBC7 At1g10470 T10O24.8	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G04400	Q96524	CRY2_ARATH	Cryptochrome-2 (Atcry2) (Blue light photoreceptor) (Protein PHR homolog 1) (AtPHH1) (Protein SUPPRESSOR OF elf3 20)	CRY2 PHH1 SEL20 At1g04400 F19P19.14	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G28200	Q9SE96	GEML1_ARATH	GEM-like protein 1 (Forming homology-interacting protein 1) (FH-interacting protein 1)	FIP1 At1g28200 F3H9.14	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G46340	Q9SYX2	SPA1_ARATH	Protein SUPPRESSOR OF PHYA-105 1 (EC 2.7.-.-)	SPA1 At2g46340/At2g46350 F11C10.3/F11C10.4	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G11110	Q9T014	SPA2_ARATH	Protein SPA1-RELATED 2	SPA2 At4g11110 F2P3.13 F2P3.14 T22B4.90	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G15354	Q9LJR3	SPA3_ARATH	Protein SPA1-RELATED 3	SPA3 At3g15354 K7L4.16	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G53090	Q94BM7	SPA4_ARATH	Protein SPA1-RELATED 4	SPA4 At1g53090 F8L10.5	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G02440	Q8LEA8	EID1_ARATH	Phytochrome A-associated F-box protein (Empfindlicher im dunkelroten Licht protein 1)	EID1 At4g02440 T14P8.22	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G21860	Q9LSX8	ASK10_ARATH	SKP1-like protein 10 (AtSK10)	ASK10 At3g21860 MSD21.23	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G25650	Q1PEL7	ASK15_ARATH	SKP1-like protein 15 (AtSK15)	ASK15 At3g25650 T5M7.16	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G03160	O81058	ASK19_ARATH	SKP1-like protein 19 (AtSK19)	ASK19 At2g03160 T18E12.17	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G10940	P43291	SRK2A_ARATH	Serine/threonine-protein kinase SRK2A (EC 2.7.11.1) (Arabidopsis protein SK1) (OST1-kinase-like 7) (SNF1-related kinase 2.4) (SnRK2.4)	SRK2A ASK1 OSKL7 SNRK2.4 At1g10940 T19D16.14	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G62980	Q570C0	TIR1_ARATH	Protein TRANSPORT INHIBITOR RESPONSE 1 (Weak ethylene-insensitive protein 1)	TIR1 FBL1 WEI1 At3g62980 T20O10.80	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G02200	A8MR65	FHL_ARATH	Protein FAR-RED-ELONGATED HYPOCOTYL 1-LIKE	FHL At5g02200 T7H20.250	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G02950	Q9SWI1	PKS1_ARATH	Protein PHYTOCHROME KINASE SUBSTRATE 1	PKS1 At2g02950 T17M13.12	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G16250	P42497	PHYD_ARATH	Phytochrome D	PHYD At4g16250 dl4165c	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G32950	P43254	COP1_ARATH	E3 ubiquitin-protein ligase COP1 (EC 2.3.2.27) (Constitutive photomorphogenesis protein 1) (RING-type E3 ubiquitin transferase COP1)	COP1 At2g32950 T21L14.11	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G22170	Q9LIE5	FHY3_ARATH	Protein FAR-RED ELONGATED HYPOCOTYL 3	FHY3 At3g22170 MKA23.12	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G15090	Q9SWG3	FAR1_ARATH	Protein FAR-RED IMPAIRED RESPONSE 1	FAR1 At4g15090 dl3590w FCAALL.134	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G61140	P45432	CSN1_ARATH	COP9 signalosome complex subunit 1 (CSN complex subunit 1) (Constitutive photomorphogenesis protein 11) (Protein FUSCA 6)	CSN1 COP11 FUS6 At3g61140 T20K12.40	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G71230	Q9FVU9	CSN5B_ARATH	COP9 signalosome complex subunit 5b (Signalosome subunit 5b) (EC 3.4.-.-) (Jun activation domain-binding homolog 2)	CSN5B AJH2 CSN5A At1g71230 F3I17.12	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G03360	Q9ZVT7	RRP4_ARATH	Exosome complex component RRP4 homolog (Ribosomal RNA-processing protein 4) (AtRRP4) (AtRrp4p)	RRP4 At1g03360 F15K9.4	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G23050	Q38825	IAA7_ARATH	Auxin-responsive protein IAA7 (Auxin resistant 2) (Indoleacetic acid-induced protein 7)	IAA7 AXR2 At3g23050 MXC7.8	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G65310	P46667	ATHB5_ARATH	Homeobox-leucine zipper protein ATHB-5 (HD-ZIP protein ATHB-5) (Homeodomain transcription factor ATHB-5)	ATHB-5 At5g65310 MNA5.4	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G22430	P46668	ATHB6_ARATH	Homeobox-leucine zipper protein ATHB-6 (HD-ZIP protein ATHB-6) (Homeodomain transcription factor ATHB-6)	ATHB-6 At2g22430 F14M13.17	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G46680	P46897	ATHB7_ARATH	Homeobox-leucine zipper protein ATHB-7 (HD-ZIP protein ATHB-7) (Homeodomain transcription factor ATHB-7)	ATHB-7 At2g46680 T3A4.6	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G61890	Q9M276	ATB12_ARATH	Homeobox-leucine zipper protein ATHB-12 (HD-ZIP protein ATHB-12) (Homeodomain transcription factor ATHB-12)	ATHB-12 At3g61890 F21F14.60	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G40060	Q940J1	ATB16_ARATH	Homeobox-leucine zipper protein ATHB-16 (HD-ZIP protein ATHB-16) (Homeodomain transcription factor ATHB-16)	ATHB-16 At4g40060 T5J17.230	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G52890	Q9LFA2	KIPK1_ARATH	Serine/threonine-protein kinase KIPK1 (EC 2.7.11.1) (KCBP-interacting protein kinase)	KIPK1 KIPK At3g52890 F8J2_60	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G37130	P11035	NIA2_ARATH	Nitrate reductase [NADH] 2 (NR2) (EC 1.7.1.1)	NIA2 CHL3 At1g37130 F28L22.2	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G71880	Q39232	SUC1_ARATH	Sucrose transport protein SUC1 (AtSUC1) (Sucrose permease 1) (Sucrose-proton symporter 1)	SUC1 At1g71880 F17M19.3	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G48750	P24100	CDKA1_ARATH	Cyclin-dependent kinase A-1 (CDKA;1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog A) (CDC2aAt)	CDKA-1 CDC2 CDC2A At3g48750 T21J18.20	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G30950	Q39090	UFO_ARATH	Protein UNUSUAL FLORAL ORGANS (F-box only protein 1) (AtFBX1)	UFO FBX1 At1g30950 F17F8.16	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G62800	Q8H1D4	DRB4_ARATH	Double-stranded RNA-binding protein 4 (dsRNA-binding protein 4) (AtDRB4)	DBR4 At3g62800 F26K9.230	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G71830	Q94AG2	SERK1_ARATH	Somatic embryogenesis receptor kinase 1 (AtSERK1) (EC 2.7.10.1) (EC 2.7.11.1) (Somatic embryogenesis receptor-like kinase 1)	SERK1 At1g71830 F14O23.21 F14O23_24	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G19290	Q9M7Q2	AI5L7_ARATH	ABSCISIC ACID-INSENSITIVE 5-like protein 7 (ABA-responsive element-binding protein 2) (Abscisic acid responsive elements-binding factor 4) (ABRE-binding factor 4) (bZIP transcription factor 38) (AtbZIP38)	ABF4 AREB2 BZIP38 At3g19290 MVI11.7	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G49720	Q9M7Q5	AI5L4_ARATH	ABSCISIC ACID-INSENSITIVE 5-like protein 4 (Abscisic acid responsive elements-binding factor 1) (ABRE-binding factor 1) (bZIP transcription factor 35) (AtbZIP35)	ABF1 BZIP35 At1g49720 F14J22.7	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G45249	Q9M7Q4	AI5L5_ARATH	ABSCISIC ACID-INSENSITIVE 5-like protein 5 (ABA-responsive element-binding protein 1) (Abscisic acid responsive elements-binding factor 2) (ABRE-binding factor 2) (bZIP transcription factor 36) (AtbZIP36)	ABF2 AREB1 BZIP36 At1g45249 T2P3	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G57530	Q6NLQ6	CDPKW_ARATH	Calcium-dependent protein kinase 32 (EC 2.7.11.1)	CPK32 At3g57530 T8H10.130	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G18890	Q9M9V8	CDPKA_ARATH	Calcium-dependent protein kinase 10 (EC 2.7.11.1) (Calcium-dependent protein kinase isoform CDPK1) (AtCDPK1)	CPK10 CDPK1 At1g18890 F6A14.1	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G74740	Q9SSF8	CDPKU_ARATH	Calcium-dependent protein kinase 30 (EC 2.7.11.1) (Calcium-dependent protein kinase isoform CDPK1a) (AtCDPK1a)	CPK30 CDPK1A At1g74740 F25A4.29	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G33000	Q7FRS8	CNBLA_ARATH	Calcineurin B-like protein 10 (SOS3-like calcium binding protein 8) (SCaBP8)	CBL10 At4g33000 F26P21_120	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G32230	Q8RY59	RCD1_ARATH	Inactive poly [ADP-ribose] polymerase RCD1 (Protein RADICAL-INDUCED CELL DEATH 1)	RCD1 ATP8 CEO1 At1g32230 F3C3.1	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G48270	O04714	GCR1_ARATH	G-protein coupled receptor 1	GCR1 At1g48270 F11A17.17	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G35580	Q9LQF2	CINV1_ARATH	Alkaline/neutral invertase CINV1 (AtCINV1) (EC 3.2.1.26) (Alkaline/neutral invertase G) (A/N-INVG) (Cytosolic invertase 1) (AtCYT-INV1)	CINV1 INVG At1g35580 F15O4.33	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G12145	Q9LH52	FLOR1_ARATH	Leucine-rich repeat protein FLOR 1 (Protein FLORAL TRANSITION AT THE MERISTEM 4)	FLR1 FTM4 At3g12145 F28J15.19 T21B14.20	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G18960	P17839	AG_ARATH	Floral homeotic protein AGAMOUS	AG At4g18960 F13C5.130	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G27600	Q8LKS5	LACS7_ARATH	Long chain acyl-CoA synthetase 7, peroxisomal (AtLACS7) (EC 6.2.1.3)	LACS7 At5g27600 F15A18.60	Arabidopsis thaliana (Mouse-ear cress)	reviewed
