UniprotID_TF	UniprotID_Target	NCBI_GeneID_TF	NCBI_GeneID_Target	Name_TF	Name_Target	Detection_method	PubmedID	Organism	Source_database	Small-scale_evidence	TF_TFLink_ortho	TF_nonTFLink_ortho	Target_TFLink_ortho	Target_nonTFLink_ortho	source
A5JNG8	F1QMZ6	792333	556178	nanog	ncalda	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:P61601;Mm:Q91X97;Rn:Q5PQN0	-	tf-link
A5JNG8	E9QCD6	792333	-	nanog	-	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	Q90W33	792333	-	nanog	hic2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q96JB3;Mm:Q9JLZ6;Rn:D4A9X7	Dm:A0A0B4KG97	tf-link
A5JNG8	A0A2R8Q4Z6	792333	-	nanog	kmt2ba	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	F1QXP4	792333	100005752	nanog	cgnb	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	F1Q8Q4	792333	-	nanog	pick1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q9NRD5;Ce:O18246;Mm:E9PUZ5;Mm:E9QAC6;Rn:Q6GQQ2	-	tf-link
Q9I9E1	Q6DGP4	57930	436776	foxh1	ndfip1l	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q9I9P9	A0A0R4IAG2	30639	557199	smad2	psd2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	O42606	792333	30239	nanog	neurog1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q92886	-	tf-link
Q9I9E1	A0A097ZPG7	57930	101887128	foxh1	mbd4	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	Q6DRK4	792333	445385	nanog	rfc5	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:P40937;Ce:P34429;Dm:Q9VKW3;Mm:Q9D0F6;Rn:B5DF29;Sc:P38629	-	tf-link
Q9I9P9	Q6DHS0	30639	436631	smad2	trim55a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	Rn:Q5PQN5	tf-link
Q9I9E1	Q6P971	57930	393799	foxh1	pycr1a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q98TU2	Q5TZA3	64603	619265	eomesa	tmem251	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:O95936;Mm:O54839;Rn:D3ZY52	-	Hs:Q8N6I4;Mm:Q8BH26;Rn:F1LXS7	-	tf-link
A5JNG8	A0A2R8RX70	792333	-	nanog	nat10	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q05AJ3	A3QJW0	30481	-	gata1a	tmem150aa	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	F1R2G5	792333	-	nanog	-	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	F1QEV7	792333	562009	nanog	spint2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q9I9E1	F1R8C8	57930	-	foxh1	nphp1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:O15259;Ce:O17972;Mm:A2APS1;Rn:D3ZJ87	-	tf-link
Q6TEL1	A2RRV4	322275	572347	rad21a	klhl8	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q9P2G9;Mm:P59280;Rn:D3ZHE1	Ce:A0A0K3AY66	tf-link
F1QDF2	Q6DGH5	-	436801	sall4	asb13a.1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q9UJQ4;Mm:Q8BX22;Rn:M0RDM1	-	-	-	tf-link
A5JNG8	E7FBG0	792333	170445	nanog	pknox1.2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:P55347	-	tf-link
Q05AJ3	A3KPR5	30481	100002371	gata1a	cyb561a3	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	Q7ZW09	792333	394074	nanog	hnrnpl	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Mm:Q8R081	-	tf-link
Q6JAA4	A0A2R8QKI4	415104	-	ctcf	-	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:P49711;Mm:Q61164;Rn:A0A0H2UHP0	-	-	-	tf-link
A5JNG8	A0A2R8RXU6	792333	557912	nanog	ssh2b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q6TEL1	Q4V8X0	322275	570573	rad21a	tpra1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q86W33;Mm:Q99MU1;Rn:G3V859	-	tf-link
F1QDF2	F1R6L3	-	-	sall4	cirbpb	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q9UJQ4;Mm:Q8BX22;Rn:M0RDM1	-	-	-	tf-link
A5JNG8	Q7SYB8	792333	394155	nanog	gys1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:P13807;Mm:Q9Z1E4;Rn:A2RRU1	-	tf-link
A5JNG8	A0A2R8QN78	792333	-	nanog	sorbs2b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q9I9E1	E9QF13	57930	-	foxh1	-	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	A0A0G2KHE4	792333	103911794	nanog	cnnm4a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	A0A0R4ICS4	792333	569414	nanog	purg	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
F1QDF2	F1RAB1	-	-	sall4	rasd2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q9UJQ4;Mm:Q8BX22;Rn:M0RDM1	-	-	-	tf-link
Q6P0E1	Q5SPB0	378723	449771	sox2	slc38a4	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:P48431;Rn:D4A543	Mm:Q60I23	Hs:Q969I6;Mm:Q8R1S9;Rn:Q9EQ25	-	tf-link
F1QDF2	F1Q4R3	-	100141327	sall4	igdcc4	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q9UJQ4;Mm:Q8BX22;Rn:M0RDM1	-	Hs:Q8TDY8;Mm:Q9EQS9	Rn:F7EL93	tf-link
A5JNG8	E7FD66	792333	556229	nanog	aass	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q9UDR5;Ce:U4PFH6;Dm:Q9VLX0;Mm:Q99K67;Rn:D4ACE9	-	tf-link
Q9I9P9	F1QWK4	30639	-	smad2	mical3b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	A0A0G2L0D1	792333	-	nanog	nufip1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	B8A514	792333	562163	nanog	gdap1l1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q96MZ0;Rn:B4F774	Mm:Q3USC7	tf-link
Q6JAA4	Q6NWC9	415104	406581	ctcf	gkap1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:P49711;Mm:Q61164;Rn:A0A0H2UHP0	-	Hs:Q5VSY0;Mm:Q9JMB0;Rn:Q5XIG5	-	tf-link
A5JNG8	F1QLZ5	792333	108179061	nanog	sinhcafl	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	F1QF91	792333	-	nanog	itgb5	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	F1QFY0	792333	393416	nanog	arhgap4a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q05AJ3	Q05AJ1	30481	563742	gata1a	larp4b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q92615;Ce:O44760;Mm:Q6A0A2	Rn:D3ZF45	tf-link
Q9I9E1	Q7ZSY6	57930	100174951	foxh1	mt2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Mm:P47945;Mm:P28184;Mm:P02798;Rn:P02803;Rn:P04355;Rn:P37361;Rn:D3ZTJ2	Rn:D3ZHV3	tf-link
F1QDF2	A9C4A9	-	-	sall4	fance	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q9UJQ4;Mm:Q8BX22;Rn:M0RDM1	-	Hs:Q9HB96;Mm:B8JJD3;Rn:F1M286	-	tf-link
A5JNG8	Q6P3G9	792333	393866	nanog	erp44	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q9BS26;Ce:Q304D5;Dm:Q95TL8;Mm:Q9D1Q6;Rn:Q5VLR5	-	tf-link
Q9I9E1	A5WV69	57930	100004736	foxh1	acbd5b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	Q7T399	792333	394125	nanog	rhoca	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	A5PLK0	792333	793480	nanog	kcnk1a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q9I9E1	F1QWK1	57930	-	foxh1	pcdh2ab6	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q9I9E1	A2CEA7	57930	553520	foxh1	rasgrf2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:O14827	Rn:A0A0G2JW65	tf-link
A5JNG8	R4GE60	792333	-	nanog	spred2a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q6TEL1	A0A0R4IKK1	322275	393848	rad21a	arhgap12b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
F1QDF2	P22574	-	30340	sall4	hoxb4a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q9UJQ4;Mm:Q8BX22;Rn:M0RDM1	-	Hs:P17483;Rn:B1WBS2	-	tf-link
A5JNG8	E9QIH3	792333	-	nanog	lrrc8aa	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q6EHI4	U3JA44	393202	569910	hif1ab	armc5	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q16665;Mm:Q61221;Rn:D4A8P8	-	-	-	tf-link
A5JNG8	F6PCB5	792333	-	nanog	znf576.2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	Q1ECW7	792333	724009	nanog	slc25a47a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q6Q0C1;Mm:Q6IS41;Rn:Q6J329	-	tf-link
A5JNG8	A8KC31	792333	393210	nanog	wdr45b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q5MNZ6;Dm:Q9VHJ2;Mm:Q9CR39;Rn:Q2MCP5	-	tf-link
A5JNG8	E7F6Q1	792333	559531	nanog	mxd4	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q14582;Mm:Q91VN7;Rn:A0A096MIW8	-	tf-link
Q05AJ3	E7F4N6	30481	-	gata1a	ano5a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	M1ZML1	792333	101885179	nanog	nanos2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q9I9E1	Q6IQA7	57930	259190	foxh1	hm13	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q8TCT9;Dm:Q9VPQ7;Mm:Q9D8V0;Rn:A0A0G2K1Z9	-	tf-link
Q6TEL1	Q7ZVB5	322275	327011	rad21a	snrpd3l	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
F1QDF2	F1RD40	-	368439	sall4	mycbp2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q9UJQ4;Mm:Q8BX22;Rn:M0RDM1	-	Hs:O75592;Dm:Q9NB71;Mm:Q7TPH6;Rn:D4A2D3	Ce:Q17551	tf-link
A5JNG8	E7FGH4	792333	-	nanog	tmem106c	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q9BVX2;Mm:Q80VP8;Rn:Q5RJK0	-	tf-link
A5JNG8	E7EZW6	792333	569063	nanog	srpra	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:P08240;Ce:G4RYA5;Dm:Q9U5L1;Mm:Q9DBG7;Rn:Q3KRC3	-	tf-link
A5JNG8	F1Q5N9	792333	497580	nanog	si:ch211-106h11.3	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	F1QUM9	792333	570015	nanog	si:dkey-66i24.8	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q9I9E1	E7EZR4	57930	101885552	foxh1	vegfba	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q9I9E1	E9QEQ1	57930	568972	foxh1	apoc2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	Q6TA36	792333	402914	nanog	her12	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
F1QDF2	Q7ZZ56	-	368415	sall4	ptenb	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q9UJQ4;Mm:Q8BX22;Rn:M0RDM1	-	-	-	tf-link
Q6P0E1	F1QG48	378723	-	sox2	tnfaip3	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:P48431;Rn:D4A543	Mm:Q60I23	-	-	tf-link
A5JNG8	B8A4Q2	792333	564697	nanog	pdxkb	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	Q503Y8	792333	553573	nanog	eurl	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q9NYK6;Mm:Q9D7G4;Rn:D4ACQ8	-	tf-link
Q9I9E1	B8JIT8	57930	-	foxh1	-	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Mm:A0A0J9YUX7	Rn:D2KX48	tf-link
A5JNG8	A0A0R4IYN8	792333	-	nanog	sdad1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q9NVU7;Ce:Q9NEU2;Dm:Q7KKH3;Mm:A0A0R4J0B7;Rn:Q5XIQ5;Sc:P53313	-	tf-link
Q6TEL1	Q6P296	322275	324407	rad21a	chsy1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q86X52;Mm:Q6ZQ11;Rn:D3ZRM3	-	tf-link
Q9I9P9	E7F0W8	30639	-	smad2	adgrl2b.1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q6EHI4	E7FAH9	393202	559017	hif1ab	arhgef4	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q16665;Mm:Q61221;Rn:D4A8P8	-	-	-	tf-link
Q05AJ3	Q7ZUP5	30481	406814	gata1a	dnaja2a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q6TEL1	Q5TYR4	322275	-	rad21a	rdh14b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	Q7SYE0	792333	393405	nanog	atg13	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:O75143;Mm:Q91YI1	Rn:D3ZA45	tf-link
F1QDF2	E7F221	-	559410	sall4	frmd8	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q9UJQ4;Mm:Q8BX22;Rn:M0RDM1	-	Hs:Q9BZ67;Mm:Q3UFK8;Rn:Q5U2R3	-	tf-link
F1QDF2	F1R3I8	-	572225	sall4	si:ch73-236c18.8	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q9UJQ4;Mm:Q8BX22;Rn:M0RDM1	-	-	-	tf-link
Q6TEL1	F1QX16	322275	-	rad21a	agpat4	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q9I9E1	Q66I42	57930	286739	foxh1	msna	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:P26038;Mm:P26041;Rn:A0A096MK30	-	tf-link
Q05AJ3	A0A0R4IUJ2	30481	406311	gata1a	pik3r3a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
F1QDF2	Q6NVI6	-	322258	sall4	cct5	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q9UJQ4;Mm:Q8BX22;Rn:M0RDM1	-	Hs:P48643;Ce:P47209;Dm:Q7KKI0;Mm:P80316;Rn:Q68FQ0;Sc:P40413	-	tf-link
Q9I9E1	A0A0R4IBY3	57930	-	foxh1	eloa	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	Q803C7	792333	321314	nanog	lmbr1l	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q6UX01;Mm:Q9D1E5;Rn:A0A0G2JVJ7	-	tf-link
Q6TEL1	A0A2R8QMK9	322275	-	rad21a	tjp1a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q6EHI4	F1R2K7	393202	322997	hif1ab	ell2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q16665;Mm:Q61221;Rn:D4A8P8	-	Hs:O00472;Mm:Q3UKU1;Rn:F1LSH1	-	tf-link
A5JNG8	E7F5Q0	792333	794807	nanog	cachd1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q9I9P9	Z4YID0	30639	-	smad2	sebox	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	A0A0R4IQN0	792333	563358	nanog	si:ch211-162e15.3	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q69YL0;Mm:A0A0J9YTR2	-	tf-link
F1QDF2	Q6DEH3	-	445208	sall4	camk2d1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q9UJQ4;Mm:Q8BX22;Rn:M0RDM1	-	-	-	tf-link
Q9I9E1	F8W5Q3	57930	-	foxh1	si:ch73-57f22.2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
F1QDF2	F1Q6D1	-	-	sall4	pgpep1l	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q9UJQ4;Mm:Q8BX22;Rn:M0RDM1	-	Hs:A6NFU8	Mm:A0A140LIX6	tf-link
A5JNG8	F1Q4N8	792333	-	nanog	-	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q86T90	Mm:E9QPX6;Rn:F1LT68	tf-link
A5JNG8	Q5U378	792333	664760	nanog	tbce	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q15813;Dm:A1Z6J5;Mm:Q8CIV8;Sc:P39937	Ce:Q20068;Rn:A0A0G2K191	tf-link
A5JNG8	Q1LVQ2	792333	403082	nanog	sh3bp4a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:Q9P0V3;Mm:Q921I6;Rn:G3V8J0	-	tf-link
Q9I9E1	X1WEF0	57930	-	foxh1	cngb1b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
F1QDF2	B8A637	-	-	sall4	-	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q9UJQ4;Mm:Q8BX22;Rn:M0RDM1	-	-	-	tf-link
Q9I9E1	E7EYR3	57930	100005214	foxh1	ttc3	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Hs:P53804;Mm:G5E8T2;Rn:D3ZSP7	-	tf-link
A5JNG8	A0A0R4IQL7	792333	60639	nanog	pax6b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	Q6NUV6	792333	406507	nanog	gadd45gb.1	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Dm:A1Z6W5	-	tf-link
Q9I9P9	F1R3T2	30639	-	smad2	ppm1e	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	E7F3N6	792333	796934	nanog	tfpt	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q6EHI4	Q1LY80	393202	798580	hif1ab	tmem120b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q16665;Mm:Q61221;Rn:D4A8P8	-	Hs:A0PK00;Mm:Q3TA38;Rn:M0R6Y6	-	tf-link
Q6EHI4	F1QQS0	393202	-	hif1ab	tnfrsf1a	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	Hs:Q16665;Mm:Q61221;Rn:D4A8P8	-	Hs:P19438	-	tf-link
Q90270	F1Q6C8	30333	-	pou5f1	dcaf13	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	Ce:Q23494;Dm:Q9VUN7;Mm:Q6PAC3;Rn:F1M7P1;Sc:P33750	Hs:A0A087X1F8	tf-link
Q9I9E1	K7DYG6	57930	-	foxh1	ndufs8b	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q6TEL1	A0A2R8QFI9	322275	-	rad21a	-	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
A5JNG8	A3KH10	792333	558447	nanog	isg20l2	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
Q6TEL1	A0A2R8QDI7	322275	-	rad21a	pxdn	chromatin immunoprecipitation assay	27924024	Danio rerio	GTRD	No	-	-	-	-	tf-link
