"protein","relType","goTerm","goName","namespace","neverAnnotate"
"P32125","enables","GO:0000166","nucleotide binding","molecular_function","false"
"P12281","enables","GO:0005515","protein binding","molecular_function","false"
"P12281","enables","GO:0061599","molybdopterin molybdotransferase activity","molecular_function","false"
"P12281","is_active_in","GO:0005737","cytoplasm","cellular_component","false"
"P12281","involved_in","GO:0032324","molybdopterin cofactor biosynthetic process","biological_process","false"
"P12281","enables","GO:0016740","transferase activity","molecular_function","false"
"P12281","involved_in","GO:0006777","Mo-molybdopterin cofactor biosynthetic process","biological_process","false"
"P12281","enables","GO:0046872","metal ion binding","molecular_function","false"
"P12281","enables","GO:0042803","protein homodimerization activity","molecular_function","false"
"P12281","located_in","GO:0005829","cytosol","cellular_component","false"
"P12281","enables","GO:0042802","identical protein binding","molecular_function","false"
"P0ABW9","located_in","GO:0030694","bacterial-type flagellum basal body, rod","cellular_component","false"
"P0ABW9","involved_in","GO:0006935","chemotaxis","biological_process","false"
"P0ABW9","located_in","GO:0009425","bacterial-type flagellum basal body","cellular_component","false"
"P0ABW9","located_in","GO:0009288","bacterial-type flagellum","cellular_component","false"
"P0ABW9","involved_in","GO:0071973","bacterial-type flagellum-dependent cell motility","biological_process","false"
"P0A746","involved_in","GO:0006979","response to oxidative stress","biological_process","false"
"P0A746","enables","GO:0033743","peptide-methionine (R)-S-oxide reductase activity","molecular_function","false"
"P0A746","located_in","GO:0005829","cytosol","cellular_component","false"
"P0A746","enables","GO:0005506","iron ion binding","molecular_function","false"
"P0A746","enables","GO:0016671","oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor","molecular_function","false"
"P0A746","involved_in","GO:0030091","protein repair","biological_process","false"
"P0A746","enables","GO:0008270","zinc ion binding","molecular_function","false"
"P0A746","enables","GO:0046872","metal ion binding","molecular_function","false"
"P0A746","is_active_in","GO:0005737","cytoplasm","cellular_component","false"
"P0A746","enables","GO:0016491","oxidoreductase activity","molecular_function","false"
"P0A746","acts_upstream_of_or_within","GO:0046686","response to cadmium ion","biological_process","false"
"P0A746","enables","GO:0033745","L-methionine-(R)-S-oxide reductase activity","molecular_function","false"
"P0A6Y8","enables","GO:0000166","nucleotide binding","molecular_function","false"
"P0A6Y8","enables","GO:0016989","sigma factor antagonist activity","molecular_function","false"
"P0A6Y8","enables","GO:0008270","zinc ion binding","molecular_function","false"
"P0A6Y8","involved_in","GO:0034620","cellular response to unfolded protein","biological_process","false"
"P0A6Y8","enables","GO:0044183","protein folding chaperone","molecular_function","false"
"P0A6Y8","enables","GO:0031072","heat shock protein binding","molecular_function","false"
"P0A6Y8","enables","GO:0016887","ATP hydrolysis activity","molecular_function","false"
"P0A6Y8","involved_in","GO:0065003","protein-containing complex assembly","biological_process","false"
"P0A6Y8","located_in","GO:0005886","plasma membrane","cellular_component","false"
"P0A6Y8","part_of","GO:0032991","protein-containing complex","cellular_component","false"
"P0A6Y8","involved_in","GO:0009408","response to heat","biological_process","false"
"P0A6Y8","enables","GO:0051082","unfolded protein binding","molecular_function","false"
"P0A6Y8","involved_in","GO:0042026","protein refolding","biological_process","false"
"P0A6Y8","enables","GO:0140662","ATP-dependent protein folding chaperone","molecular_function","false"
"P0A6Y8","involved_in","GO:0006457","protein folding","biological_process","false"
"P0A6Y8","located_in","GO:0005737","cytoplasm","cellular_component","false"
"P0A6Y8","involved_in","GO:0043335","protein unfolding","biological_process","false"
"P0A6Y8","enables","GO:0005524","ATP binding","molecular_function","false"
"P0A6Y8","located_in","GO:0005829","cytosol","cellular_component","false"
"P0A6Y8","enables","GO:0043531","ADP binding","molecular_function","false"
"P0A6Y8","involved_in","GO:1990169","stress response to copper ion","biological_process","false"
"P0A6Y8","part_of","GO:0016234","inclusion body","cellular_component","false"
"P0A6Y8","involved_in","GO:0006260","DNA replication","biological_process","false"
"P0A6Y8","involved_in","GO:0045892","negative regulation of DNA-templated transcription","biological_process","false"
"P0A6Y8","enables","GO:0051087","protein-folding chaperone binding","molecular_function","false"
"P0A6Y8","located_in","GO:0016020","membrane","cellular_component","false"
"P0A6Y8","enables","GO:0005515","protein binding","molecular_function","false"
"P0A763","enables","GO:0005515","protein binding","molecular_function","false"
"P0A763","involved_in","GO:0006183","GTP biosynthetic process","biological_process","false"
"P0A763","enables","GO:0046872","metal ion binding","molecular_function","false"
"P0A763","involved_in","GO:0006220","pyrimidine nucleotide metabolic process","biological_process","false"
"P0A763","involved_in","GO:0006163","purine nucleotide metabolic process","biological_process","false"
"P0A763","enables","GO:0000166","nucleotide binding","molecular_function","false"
"P0A763","located_in","GO:0005829","cytosol","cellular_component","false"
"P0A763","enables","GO:0004550","nucleoside diphosphate kinase activity","molecular_function","false"
"P0A763","involved_in","GO:0006228","UTP biosynthetic process","biological_process","false"
"P0A763","located_in","GO:0005737","cytoplasm","cellular_component","false"
"P0A763","involved_in","GO:0009117","nucleotide metabolic process","biological_process","false"
"P0A763","enables","GO:0005524","ATP binding","molecular_function","false"
"P0A763","enables","GO:0016740","transferase activity","molecular_function","false"
